10.00

#########################################################################################################################################################################
#																																					
#					PUNCH_KICK				PISTOL_SMALL			SHOTGUN				ROCKET						LASER						CLOWN					
#						MELEE_WOOD				PISTOL_LARGE			RIFLE_ASSAULT		GRENADE						STUNGUN						ALIEN
#							MELEE_METAL				PISTOL_SILENCED			RIFLE_SNIPER		MOLOTOV						HEAVY_MG				
#								MELEE_SHARP				RUBBER										FIRE						VEHICLE_MG		    
#									MELEE_GENERIC			SMG											EXPLOSION							    
#																																					
#########################################################################################################################################################################

BLOODFX_TABLE_ALIVE_START

BUTTOCKS			080   080 080 085 080     505 505 505 295	505		108 505 701 		505 105 0   0     505		0	301 505	505 			900	950
THIGH_LEFT			080   070 080 075 070     504 504 504 295	504		110 504 701		    504 104 0   104   104 	    0	301 504	504 			900	950
SHIN_LEFT			080   070 080 075 070     505 505 505 295	505		110 505 701 		505 505 0   505   105 	    0	301 505	505 			900	950
FOOT_LEFT			080   060 080 065 060     505 505 505 295	505		110 505 701 		505 505 0   103   105 	    0	301 505	505 			900	950
THIGH_RIGHT			080   070 080 075 070     504 504 504 295	504		110 504 701 		504 504 0   104   104 	    0	301 504	504 			900	950
SHIN_RIGHT			080   070 080 075 070     505 505 505 295	505		110 505 701 		505 505 0   103   105 	    0	301 505	505 			900	950
FOOT_RIGHT			080   060 080 065 060     505 505 505 295	505		110 505 701 		505 505 0   505   105 	    0	301 505	505 			900	950
SPINE0				080   080 080 085 080     505 505 505 295	505		108 505 701 		505 505 0   505   105 	    0	301 505	505 			900	950
SPINE1				080   080 080 085 080     505 505 505 295	505		108 505 701 		505 505 0   505   105 	    0	301 505	505 			900	950
SPINE2				080   080 080 085 080     505 505 505 295	505		108 505 701 		505 505 0   505   105 	    0	301 505	505 			900	950
SPINE3				080   080 080 085 080     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
CLAVICLE_LEFT		080   070 080 075 070     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
UPPER_ARM_LEFT		080   070 080 075 070     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
LOWER_ARM_LEFT		080   060 080 065 060     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
HAND_LEFT			080   0   080   065 0 	  505 505 505 295	505		505 505 701 		505 105 0   505   105 	    0	301 505	505 			900	950
CLAVICLE_RIGHT		080   070 080 075 070     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
UPPER_ARM_RIGHT		080   070 080 075 070     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
LOWER_ARM_RIGHT		080   060 080 065 060     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
HAND_RIGHT			080   0   080   065 0 	  505 505 505 505	505		108 505 701 		505 105 0   105   105 	    0	301 505	505 			900	950
NECK				081   082 082 086 083     104 104 104 295	105		108 104 202 		104 104 0   104   104 	    0	301 104	104 			900	950
HEAD				081   082 082 086 083     105 105 105 295	105		109 105 202 		105 105 0   105   105 	    0	301 105	105 			900	950
ANIMAL_DEFAULT		080   080 080 085 080     505 505 505 295	505		108 505 701 		505 505 0   505   105 	    0	301 505	505 			900	950
																																				
BLOODFX_TABLE_ALIVE_END																															

BLOODFX_TABLE_DEAD_START

BUTTOCKS			580   580 580 585 580     505 505 505 795	505		508 505 701 		505 505 0   0   505			0	601 505	505 			900	950
THIGH_LEFT			580   570 580 575 570     504 504 504 795	505		510 504 701			504 504 0   0   504 	    0	601 504	504 			900	950
SHIN_LEFT			580   570 580 565 570     505 505 505 795	505		510 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
FOOT_LEFT			580   560 580 575 560     505 505 505 795	505		510 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
THIGH_RIGHT			580   570 580 575 570     504 504 504 795	505		510 504 701 		504 504 0   0   504 	    0	601 504	504 			900	950
SHIN_RIGHT			580   570 580 575 570     505 505 505 795	505		510 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
FOOT_RIGHT			580   560 580 565 560     505 505 505 795	505		510 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
SPINE0				580   580 580 565 580     505 505 505 795	505		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
SPINE1				580   580 580 585 580     505 505 505 795	505		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
SPINE2				580   580 580 565 580     505 505 505 795	505		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
SPINE3				580   580 580 575 580     505 505 505 795	505		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
CLAVICLE_LEFT		580   570 580 575 570     505 505 505 795	505		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
UPPER_ARM_LEFT		580   570 580 585 570     505 505 505 795	505		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
LOWER_ARM_LEFT		580   560 580 565 560     505 505 505 795	505		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
HAND_LEFT			580   0   580   575 0 	  505 505 505 795	501		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
CLAVICLE_RIGHT		580   570 580 565 570     505 505 505 795	505		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
UPPER_ARM_RIGHT		580   570 580 585 570     505 505 505 795	505		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
LOWER_ARM_RIGHT		580   560 580 575 560     505 505 501 795	505		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
HAND_RIGHT			580   0   580   505 0 	  505 505 505 795	505		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950
NECK				581   582 582 586 083     104 104 104 795	104		508 104 702 		504 504 0   0   504 	    0	601 504	504 			900	950
HEAD				581   582 582 586 083     105 105 105 795	105		509 105 702 		505 505 0   0   505 	    0	601 505	505 			900	950
ANIMAL_DEFAULT		580   580 580 585 585     505 505 505 795	505		508 505 701 		505 505 0   0   505 	    0	601 505	505 			900	950

BLOODFX_TABLE_DEAD_END

BLOODFX_TABLE_ALIVE_MP_START

BUTTOCKS			080   080 080 085 080     505 505 505 295	505		108 505 701 		505 105 0   0     505		0	301 505	505 			900	950
THIGH_LEFT			080   070 080 075 070     504 504 504 295	504		110 504 701		    504 104 0   104   104 	    0	301 504	504 			900	950
SHIN_LEFT			080   070 080 075 070     505 505 505 295	505		110 505 701 		505 505 0   505   105 	    0	301 505	505 			900	950
FOOT_LEFT			080   060 080 065 060     505 505 505 295	505		110 505 701 		505 505 0   103   105 	    0	301 505	505 			900	950
THIGH_RIGHT			080   070 080 075 070     504 504 504 295	504		110 504 701 		504 504 0   104   104 	    0	301 504	504 			900	950
SHIN_RIGHT			080   070 080 075 070     505 505 505 295	505		110 505 701 		505 505 0   103   105 	    0	301 505	505 			900	950
FOOT_RIGHT			080   060 080 065 060     505 505 505 295	505		110 505 701 		505 505 0   505   105 	    0	301 505	505 			900	950
SPINE0				080   080 080 085 080     505 505 505 295	505		108 505 701 		505 505 0   505   105 	    0	301 505	505 			900	950
SPINE1				080   080 080 085 080     505 505 505 295	505		108 505 701 		505 505 0   505   105 	    0	301 505	505 			900	950
SPINE2				080   080 080 085 080     505 505 505 295	505		108 505 701 		505 505 0   505   105 	    0	301 505	505 			900	950
SPINE3				080   080 080 085 080     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
CLAVICLE_LEFT		080   070 080 075 070     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
UPPER_ARM_LEFT		080   070 080 075 070     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
LOWER_ARM_LEFT		080   060 080 065 060     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
HAND_LEFT			080   0   080   065 0 	  505 505 505 295	505		505 505 701 		505 105 0   505   105 	    0	301 505	505 			900	950
CLAVICLE_RIGHT		080   070 080 075 070     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
UPPER_ARM_RIGHT		080   070 080 075 070     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
LOWER_ARM_RIGHT		080   060 080 065 060     505 505 505 295	505		108 505 701 		505 505 0   105   105 	    0	301 505	505 			900	950
HAND_RIGHT			080   0   080   065 0 	  505 505 505 505	505		108 505 701 		505 105 0   105   105 	    0	301 505	505 			900	950
NECK				081   082 082 086 083     104 104 104 295	105		108 104 202 		104 104 0   104   104 	    0	301 104	104 			900	950
HEAD				081   082 082 086 083     105 105 105 295	105		109 105 202 		105 105 0   105   105 	    0	301 105	105 			900	950
